GENDER,ETHNICITY,PARENTAL LEVEL OF EDUCATION,LUNCH,TEST PREPARATION COURSE,MATH SCORE,READING SCORE,WRITING SCORE
FEMALE,GROUP A,SOME COLLEGE,STANDARD,COMPLETED,78,87,91
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,74,75,82
MALE,GROUP A,HIGH SCHOOL,STANDARD,NONE,57,51,54
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,40,59,51
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,COMPLETED,81,75,76
FEMALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,44,45,45
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,67,86,83
MALE,GROUP E,HIGH SCHOOL,FREE/REDUCED,COMPLETED,86,81,75
FEMALE,GROUP B,SOME HIGH SCHOOL,STANDARD,COMPLETED,65,82,78
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,55,76,76
FEMALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,NONE,62,72,74
MALE,GROUP A,HIGH SCHOOL,STANDARD,NONE,63,63,62
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,COMPLETED,88,99,95
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,62,55,55
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,COMPLETED,59,71,65
FEMALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,68,78,77
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,NONE,77,86,86
